id,toss-pull-request-acceptance-rate,toss-review-duration,average-issue-resolution-time,issues-maintainer-response-duration
25469,1.0,1.1804166667,1145 days 23:25:46,None
25463,1.0,0.0030208333,224 days 01:52:43,224.0
25466,0.7083333333,25.2936342593,66 days 18:12:51.357143,31.8333333333
25644,None,None,None,None
25750,None,None,None,None
25682,None,None,None,None
25573,None,None,None,None
25835,None,None,200 days 19:39:53.909091,150.1
25433,None,None,195 days 22:02:21.285714,7.625
25759,1.0,2.2508796296,None,None
25577,None,None,None,None
25880,None,None,None,None
25498,None,None,None,None
25816,None,None,None,None
25625,None,None,None,None
25559,0.9302325581,7.864965466,257 days 10:58:33.414062,89.1680672269
25766,0.5625,25.6699242528,126 days 16:33:08.74298,37.8391304348
25769,None,None,00:55:57,2.25
25767,0.5222929936,25.3527769886,488 days 29:48:50.762238,184.1363636364
25774,None,None,None,0.0
25881,None,None,50 days 03:59:32,50.0
25489,0.6161616162,11.359239098,54 days 26:15:31.504855,17.4795918367
25436,0.6857142857,8.5831442901,77 days 32:46:50.156626,20.7976190476
25448,0.8,1.1217503307,None,0.0
25634,1.0,60.6503776042,None,None
25846,None,None,27 days 32:17:22.125,49.3333333333
25798,None,None,164 days 19:19:14.885714,62.0
25562,None,None,None,None
25538,None,None,None,None
25450,None,None,None,None
25853,None,None,19 days 12:29:26.333333,11.0
25561,0.8125,176.288556802,169 days 24:18:44.307692,47.2666666667
25539,0.6363636364,383.5025876323,958 days 22:44:56.571429,338.8571428571
25535,0.6,24.7247800926,106 days 02:22:42.333333,52.3333333333
25753,1.0,0.0099266975,None,None
25781,None,None,None,None
25621,None,None,None,None
25611,None,None,None,None
25569,None,None,432 days 19:54:26,432.0
25687,None,None,None,None
25887,None,None,15:50:42,17.75
25869,None,None,None,None
25675,None,None,None,None
25859,None,None,None,None
25823,None,None,83 days 33:38:36.857143,21.52
25704,None,None,352 days 20:15:46.2625,108.3291139241
25803,0.5,0.5321875,None,None
25507,None,None,None,None
25865,None,None,None,None
25862,None,None,None,None
25870,1.0,2.2896180556,None,None
25867,None,None,None,None
25868,None,None,None,None
25874,None,None,None,None
25866,None,None,None,None
25864,None,None,None,None
25863,None,None,None,None
25885,None,None,None,None
25709,None,None,414 days 24:06:53,0.0
25607,None,None,None,None
25584,None,None,119 days 18:11:07.533333,58.1923076923
25626,None,None,None,None
25575,0.3549939832,31.1875173228,222 days 18:13:16.474238,None
25925,None,None,None,None
25917,None,None,69 days 08:55:28.666667,44.0
25586,0.46875,30.4813541667,162 days 11:37:19.5,105.0714285714
25554,None,None,None,None
25760,None,None,None,20.0
25784,None,None,491 days 17:49:56,168.0
25432,1.0,37.3897280093,20 days 32:26:31.90625,9.3235294118
25643,None,None,None,None
25898,None,None,57 days 14:18:20.909091,30.9583333333
25909,None,None,None,None
25894,None,None,69 days 03:50:15,0.0
25899,None,None,None,None
25534,0.5,35.7037644676,242 days 26:58:36,14.0
25778,None,None,None,None
25840,None,None,None,None
25837,None,None,206 days 14:10:32.297297,76.3513513514
25844,None,None,None,None
25843,None,None,52 days 29:24:46.774193,75.4827586207
25838,0.6956521739,57.680472608,134 days 13:53:37.527273,45.0576923077
25848,0.875,25.2224652778,None,None
25856,None,None,None,None
25851,None,None,260 days 14:25:17.368421,184.0
25443,None,None,None,None
25648,None,None,None,None
25645,0.5,496.9793460648,1 day 18:11:09,1.0
25680,None,None,None,None
25901,None,None,None,None
25497,None,None,None,None
25516,None,None,4 days 31:55:04,80.3333333333
25603,None,None,None,None
25630,None,None,None,None
25654,0.7523809524,11.8082589076,81 days 19:08:43.444444,40.5
25464,0.875,2.3083912037,None,None
25795,None,None,None,None
25761,None,None,None,None
25783,None,None,03:00:51,0.0
25548,None,None,None,None
25499,0.8065296252,10.3541785638,None,None
25483,None,None,None,None
25751,None,None,None,None
25512,None,None,10 days 29:15:17.555556,2.0
25834,None,None,None,None
25518,0.7894736842,45.3587546296,None,None
25519,0.8,19.2220659722,41 days 01:49:34.2,4.8
25553,None,None,None,None
25700,None,None,1 day 02:27:21.666667,0.3333333333
25650,None,None,22:44:34,0.0
25444,None,None,None,None
25447,None,None,None,None
25711,None,None,None,None
25446,0.8571428571,2.9362229938,None,None
25486,0.8333333333,113.2857083333,None,None
25529,0.5652173913,1.0861066595,123 days 26:38:32.333333,124.2
25511,None,None,None,0.0
25797,None,None,None,233.0
25809,None,None,847 days 18:16:35.5,31.0
25606,None,None,None,None
25875,None,None,None,None
25551,None,None,None,None
25545,None,None,None,None
25779,None,None,None,None
25557,None,None,None,None
25560,None,None,2762 days 19:49:36,1409.0
25482,None,None,None,None
25547,None,None,None,None
25508,None,None,None,None
25913,None,None,None,None
25801,None,None,None,0.5
25914,None,None,None,None
25830,0.75,0.963441358,None,None
25679,None,None,5 days 21:17:53.8,None
25525,0.8,0.2699826389,565 days 13:27:33,565.0
25805,0.875,5.4186772487,None,None
25839,None,None,None,None
25827,None,None,4 days 06:55:56.333333,15.5714285714
25826,None,None,29 days 03:37:18.35,32.1764705882
