reviews,cluster,repo_id
0.0,2,26384
81.0,2,28117
0.0,2,26320
0.0,2,25604
0.0,2,25713
4.0,2,30020
0.0,2,25648
0.0,2,27921
0.0,2,27347
0.0,2,27775
479.0,0,28031
0.0,2,27063
0.0,2,25812
0.0,2,27250
0.0,2,25454
1.0,2,30186
1.0,2,25950
2.0,2,27448
0.0,2,27315
0.0,2,25858
0.0,2,25681
0.0,2,30037
0.0,2,27334
0.0,2,26381
70.0,2,27970
0.0,2,27253
0.0,2,27224
11.0,2,25539
8.0,2,25956
6.0,2,25447
0.0,2,27120
0.0,2,27738
0.0,2,25482
0.0,2,26359
0.0,2,25471
1.0,2,25959
1.0,2,26494
120.0,2,26000
0.0,2,27232
0.0,2,25856
4.0,2,30325
0.0,2,26403
203.0,0,25823
2.0,2,30110
6.0,2,25707
4.0,2,25433
14.0,2,27341
2.0,2,25589
1.0,2,28130
2.0,2,27524
3.0,2,27900
2.0,2,30101
16.0,2,28078
3.0,2,30108
0.0,2,30093
45.0,2,27209
4.0,2,27138
0.0,2,25437
0.0,2,25737
0.0,2,27451
8.0,2,25938
52.0,2,27257
0.0,2,25920
0.0,2,26305
1.0,2,27651
1.0,2,27760
1.0,2,30073
24.0,2,28115
0.0,2,25828
0.0,2,30086
6.0,2,30222
3.0,2,28089
8.0,2,27886
0.0,2,26685
3.0,2,27565
0.0,2,30087
75.0,2,25695
7.0,2,25919
3.0,2,27410
35.0,2,30082
0.0,2,27922
1.0,2,27008
0.0,2,25456
0.0,2,26701
3.0,2,27500
20.0,2,27049
8.0,2,25444
24.0,2,28014
2.0,2,27874
0.0,2,30084
5.0,2,25745
2.0,2,30098
0.0,2,30053
0.0,2,25712
4.0,2,25905
0.0,2,27482
26.0,2,27789
0.0,2,25527
0.0,2,27249
1.0,2,27648
0.0,2,25977
1.0,2,27558
0.0,2,26358
0.0,2,27117
5.0,2,27948
0.0,2,25537
8.0,2,30018
3.0,2,25955
0.0,2,25734
3.0,2,30209
0.0,2,25863
0.0,2,27442
0.0,2,26858
0.0,2,26444
0.0,2,27118
3.0,2,30283
1.0,2,25997
0.0,2,30302
0.0,2,25983
1.0,2,27934
0.0,2,27563
0.0,2,27773
1.0,2,30127
0.0,2,25758
0.0,2,26807
0.0,2,25525
1.0,2,25683
0.0,2,25735
0.0,2,26575
3.0,2,27588
0.0,2,25497
1.0,2,26981
0.0,2,30311
9.0,2,30024
0.0,2,25583
3.0,2,27600
0.0,2,25719
0.0,2,25813
1.0,2,30033
3.0,2,25705
0.0,2,26353
1.0,2,25824
0.0,2,30275
4.0,2,25472
0.0,2,27284
1.0,2,27622
28.0,2,27320
3.0,2,28088
0.0,2,25678
0.0,2,25801
29.0,2,27324
3.0,2,27623
0.0,2,25570
2.0,2,30019
1.0,2,25658
0.0,2,27123
2.0,2,25929
1.0,2,25990
0.0,2,27189
2.0,2,25624
0.0,2,27217
1.0,2,26500
0.0,2,26295
11.0,2,25573
1.0,2,28134
6.0,2,25903
0.0,2,26355
0.0,2,26062
13.0,2,27866
359.0,0,28042
1.0,2,27469
0.0,2,25649
0.0,2,27549
0.0,2,26588
0.0,2,27519
0.0,2,30044
1.0,2,25975
3.0,2,27919
3.0,2,30063
0.0,2,26347
0.0,2,26669
0.0,2,25939
10.0,2,27561
1.0,2,25632
19.0,2,27967
5.0,2,25970
113.0,2,25860
0.0,2,25594
1.0,2,27855
3.0,2,25896
5.0,2,27338
1.0,2,26522
0.0,2,26727
0.0,2,25430
3.0,2,25688
0.0,2,27109
2.0,2,30030
1.0,2,27665
49.0,2,27870
1.0,2,25833
0.0,2,25509
0.0,2,26804
46.0,2,27239
2.0,2,30192
0.0,2,27752
4.0,2,27400
0.0,2,25511
0.0,2,25752
20.0,2,27370
7.0,2,25724
2.0,2,25571
0.0,2,26067
1.0,2,30233
12.0,2,25636
193.0,0,25432
3.0,2,27926
7.0,2,28017
0.0,2,27454
0.0,2,28076
0.0,2,25485
13.0,2,25795
7.0,2,30319
3.0,2,27040
0.0,2,27195
1.0,2,25898
0.0,2,26938
0.0,2,25991
0.0,2,27585
0.0,2,25602
6.0,2,25465
3.0,2,27325
0.0,2,27612
1.0,2,27958
5.0,2,27465
0.0,2,26447
0.0,2,26178
0.0,2,26372
8.0,2,25886
32.0,2,26433
12.0,2,26733
51.0,2,27261
3.0,2,27657
3.0,2,27879
0.0,2,27736
23.0,2,28008
0.0,2,28093
5.0,2,25556
180.0,0,25522
8.0,2,27610
0.0,2,28110
0.0,2,25701
1.0,2,30181
6.0,2,25936
0.0,2,25757
4.0,2,25918
55.0,2,27580
2.0,2,27589
0.0,2,26608
0.0,2,25469
0.0,2,25567
0.0,2,27076
16.0,2,30001
0.0,2,30314
0.0,2,27473
20.0,2,27035
0.0,2,25787
8.0,2,25733
43.0,2,28126
3.0,2,27605
0.0,2,28103
0.0,2,27266
0.0,2,27941
0.0,2,30091
21.0,2,27663
0.0,2,26820
46.0,2,25888
17.0,2,27933
0.0,2,27984
2.0,2,30032
0.0,2,25592
0.0,2,27356
0.0,2,26688
1.0,2,27537
2.0,2,27373
4.0,2,25897
0.0,2,26518
0.0,2,26142
26.0,2,28063
0.0,2,25519
333.0,0,30117
1.0,2,27416
4.0,2,27643
0.0,2,27396
0.0,2,26916
42.0,2,30115
0.0,2,30295
0.0,2,27476
13.0,2,30026
0.0,2,25530
2.0,2,27920
2.0,2,28114
6.0,2,25548
0.0,2,28082
5.0,2,26128
5.0,2,30161
0.0,2,27270
0.0,2,26559
0.0,2,26806
9.0,2,27547
1.0,2,30208
17.0,2,25800
6.0,2,27882
0.0,2,25775
1.0,2,25924
5.0,2,25915
8.0,2,27611
