new-issues,cluster,repo_id
0.0,0,25511
2.0,0,30323
2.0,0,27583
2.0,0,27563
0.0,0,27825
4.0,0,25940
3.0,0,25955
0.0,0,25593
2.0,0,25572
0.0,0,27483
0.0,0,27501
1.0,0,27433
20.0,0,30281
0.0,0,25630
11.0,0,25550
0.0,0,27446
0.0,0,27835
1.0,0,26618
0.0,0,26681
0.0,0,26873
0.0,0,27957
4.0,0,26980
3.0,0,25464
0.0,0,27019
127.0,0,25622
0.0,0,27559
1.0,0,27939
0.0,0,27590
1.0,0,30188
24.0,0,30081
0.0,0,26043
0.0,0,25655
1.0,0,27476
13.0,0,25835
24.0,0,25641
0.0,0,27921
0.0,0,25862
2.0,0,30146
0.0,0,27626
0.0,0,27819
26.0,0,30066
0.0,0,27338
0.0,0,26118
0.0,0,27584
0.0,0,27511
2.0,0,30019
13.0,0,27938
0.0,0,27586
0.0,0,25687
0.0,0,27507
3.0,0,30056
1.0,0,27261
134.0,0,27043
0.0,0,26601
1.0,0,28003
0.0,0,26386
1.0,0,25576
6.0,0,30047
0.0,0,25661
17.0,0,26981
183.0,0,28030
5.0,0,28146
33.0,0,30125
4.0,0,25571
0.0,0,25691
0.0,0,27345
6.0,0,25536
0.0,0,28050
1.0,0,27648
0.0,0,27454
3.0,0,30098
0.0,0,25992
0.0,0,27361
0.0,0,25722
9.0,0,27512
0.0,0,27538
18.0,0,27919
1.0,0,25824
0.0,0,28095
0.0,0,27398
2.0,0,27935
2.0,0,27178
1.0,0,30069
0.0,0,27146
0.0,0,25512
0.0,0,25669
3.0,0,30319
7.0,0,30061
0.0,0,27862
4.0,0,25921
12.0,0,28092
4.0,0,27192
0.0,0,25482
0.0,0,27320
0.0,0,27166
1.0,0,25901
0.0,0,27341
13.0,0,28002
0.0,0,27298
0.0,0,27412
108.0,0,25845
34.0,0,25522
0.0,0,30283
41.0,0,28035
0.0,0,27936
6.0,0,30022
21.0,0,30046
4.0,0,25556
0.0,0,27336
1.0,0,27941
0.0,0,27324
3.0,0,28089
12.0,0,25859
0.0,0,30299
1.0,0,27308
35.0,0,27861
2.0,0,30110
1.0,0,28074
2.0,0,30286
0.0,0,27488
0.0,0,25758
0.0,0,26387
0.0,0,26310
0.0,0,26858
1.0,0,30182
0.0,0,25806
0.0,0,27817
0.0,0,27347
0.0,0,26142
35.0,0,28137
0.0,0,27258
1.0,0,27666
0.0,0,25633
15.0,0,25636
0.0,0,30111
7.0,0,28087
0.0,0,27240
1.0,0,27893
0.0,0,27637
0.0,0,25681
1.0,0,27971
0.0,0,27926
2.0,0,25895
0.0,0,27751
0.0,0,25561
5.0,0,27040
0.0,0,26017
0.0,0,27186
37.0,0,30107
2.0,0,25897
13.0,0,30097
2.0,0,30233
5.0,0,25569
6.0,0,25922
1.0,0,25510
0.0,0,27796
0.0,0,27765
0.0,0,26390
1.0,0,28025
972.0,1,28051
0.0,0,27473
0.0,0,27408
1.0,0,25493
0.0,0,27245
1.0,0,28108
0.0,0,27475
1.0,0,25950
0.0,0,26579
3.0,0,30077
0.0,0,30226
125.0,0,26000
0.0,0,25979
5.0,0,27525
0.0,0,27843
1.0,0,27991
0.0,0,27443
0.0,0,25933
0.0,0,25786
1.0,0,25909
0.0,0,27924
0.0,0,27344
0.0,0,27945
0.0,0,25896
2.0,0,25596
1.0,0,26420
0.0,0,26265
17.0,0,25782
408.0,0,28037
158.0,0,25827
8.0,0,27209
0.0,0,27545
211.0,0,28042
43.0,0,27263
0.0,0,27213
12.0,0,27497
1.0,0,27944
0.0,0,26645
0.0,0,27362
0.0,0,27119
0.0,0,25698
0.0,0,26302
13.0,0,30109
0.0,0,27752
1.0,0,25541
22.0,0,27899
1.0,0,25682
33.0,0,25997
0.0,0,30116
0.0,0,27450
0.0,0,26637
0.0,0,26175
0.0,0,27725
6.0,0,28141
36.0,0,27897
0.0,0,25788
2.0,0,27060
4.0,0,25795
0.0,0,27463
0.0,0,27222
0.0,0,27596
0.0,0,27396
0.0,0,26517
1.0,0,27544
1.0,0,25649
4.0,0,25899
2.0,0,30175
0.0,0,27465
0.0,0,28052
0.0,0,27823
0.0,0,25801
13.0,0,27898
0.0,0,27766
0.0,0,25670
1.0,0,27794
21.0,0,25518
0.0,0,26279
0.0,0,27842
1.0,0,27053
1.0,0,25628
0.0,0,27117
0.0,0,30202
0.0,0,26314
13.0,0,25946
0.0,0,26166
0.0,0,27364
1.0,0,27667
72.0,0,27257
1.0,0,30224
1.0,0,27212
0.0,0,27807
2.0,0,27029
0.0,0,27535
3.0,0,25479
2.0,0,27869
10.0,0,25734
1.0,0,26872
0.0,0,25537
2.0,0,25919
1.0,0,28012
0.0,0,30295
0.0,0,27601
2.0,0,27526
0.0,0,25861
4.0,0,25935
0.0,0,25708
2.0,0,27101
0.0,0,30054
5.0,0,25465
0.0,0,27614
1.0,0,27054
10.0,0,27998
0.0,0,27631
3.0,0,27510
1.0,0,28026
1.0,0,27642
6.0,0,25893
3.0,0,30023
0.0,0,25818
2.0,0,26392
64.0,0,27970
9.0,0,25938
0.0,0,27430
1.0,0,30179
1.0,0,27103
0.0,0,27030
0.0,0,27522
0.0,0,26267
0.0,0,27903
0.0,0,27498
0.0,0,26923
0.0,0,26706
190.0,0,25797
1.0,0,27647
0.0,0,27630
0.0,0,27202
0.0,0,27623
85.0,0,25615
2.0,0,30266
