website,company,classification
mattel.com,Mattel,corporate
aetna.com,Aetna,corporate
motorolasolutions.com,Motorola Solutions,corporate
jmsmucker.com,J.M. Smucker,corporate
regions.com,Regions Financial,corporate
celanese.com,Celanese,corporate
thecloroxcompany.com,Clorox,corporate
ingredion.com,Ingredion,corporate
genesishcc.com,Genesis Healthcare,corporate
peabodyenergy.com,Peabody Energy,corporate
alaskaair.com,Alaska Air Group,corporate
seaboardcorp.com,Seaboard,corporate
lowes.com,Lowe's,corporate
frontier.com,Frontier Communications,corporate
amphenol.com,Amphenol,corporate
lansingtradegroup.com,Lansing Trade Group,corporate
sandisk.com,SanDisk,corporate
sjm.com,St. Jude Medical,corporate
wyndhamworldwide.com,Wyndham Worldwide,corporate
kellyservices.com,Kelly Services,corporate
westernunion.com,Western Union,corporate
evhc.net,Envision Healthcare Holdings,corporate
visteon.com,Visteon,corporate
ups.com,UPS,corporate
ajg.com,Arthur J. Gallagher,corporate
hosthotels.com,Host Hotels & Resorts,corporate
ashland.com,Ashland,corporate
insight.com,Insight Enterprises,corporate
energyfutureholdings.com,Energy Future Holdings,corporate
markelcorp.com,Markel,corporate
essendant.com,Essendant,corporate
ch2m.com,CH2M Hill,corporate
westernsouthern.com,Western & Southern Financial Group,corporate
owenscorning.com,Owens Corning,corporate
aig.com,AIG,corporate
spglobal.com,S&P Global,corporate
raymondjames.com,Raymond James Financial,corporate
nisource.com,NiSource,corporate
airgas.com,Airgas,corporate
abm.com,ABM Industries,corporate
citizensbank.com,Citizens Financial Group,corporate
boozallen.com,Booz Allen Hamilton Holding,corporate
simon.com,Simon Property Group,corporate
domtar.com,Domtar,corporate
rockwellcollins.com,Rockwell Collins,corporate
prudential.com,Prudential Financial,corporate
lamresearch.com,Lam Research,corporate
fiserv.com,Fiserv,corporate
spectraenergy.com,Spectra Energy,corporate
navient.com,Navient,corporate
biglots.com,Big Lots,corporate
tdsinc.com,Telephone & Data Systems,corporate
firstam.com,First American Financial,corporate
nvrinc.com,NVR,corporate
cinfin.com,Cincinnati Financial,corporate
